time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.54,1.797436889,1.797436889815661,28.735171962,28.735171961951554,8.170982544403633e-10,1.568991047,1.5689910473520712,3.5207126103387054e-10,0.09898637,0.09898637045929222,4.592922153712209e-10,0.005287189,0.005287189153442919,1.5344291896118856e-10
14.55,1.797353043,1.7973530431786833,28.755171783,28.75517178313824,2.2591572957910443e-10,1.570037462,1.5700374623013946,3.013944649410405e-10,0.093195956,0.09319595548350272,-5.164972755045127e-10,0.004991979,0.004991979384707229,3.847072296142562e-10
14.56,1.79729127,1.797291270588951,28.775171679,28.775171679736,9.426353112552166e-10,1.570610963,1.570610962745647,-2.5435298312004306e-10,0.011598436,0.011598435928779988,-7.12200125263518e-11,0.001579165,0.0015791648962373305,-1.0376266946360291e-10
14.57,1.797291953,1.797291953209027,28.795171672,28.795171672414533,4.6425303935523026e-10,1.570420356,1.5704203556047425,-3.952576044241596e-10,-0.028310769,-0.028310768523598755,4.764012448421617e-10,-0.000330259,-0.00033025898185757045,1.814242956170095e-11
14.58,1.797318522,1.7973185219039192,28.81517165,28.815171650063995,1.154422255323279e-10,1.570057768,1.5700577676080592,-3.9194070211578946e-10,-0.058964318,-0.05896431833291278,-3.329127806761534e-10,-0.001834449,-0.0018344488565117379,1.434882620707234e-10
14.59,1.797391701,1.7973917014300855,28.835171511,28.835171511336053,5.458079743665136e-10,1.569322928,1.5693229282246568,2.2465673765736938e-10,-0.069394931,-0.06939493128798468,-2.8798467777146897e-10,-0.002560844,-0.002560843661129228,3.3887077215480343e-10
14.6,1.797480266,1.797480266057841,28.855171311,28.8551713114635,4.670963347048103e-10,1.568643005,1.5686430046224338,-3.7756642257136264e-10,-0.082964922,-0.08296492169879997,3.012000232560652e-10,-0.003320041,-0.0033200412825349535,-2.825349533323862e-10
14.61,1.797608348,1.7976083486582641,28.875170897,28.87517089734425,7.428460716223966e-10,1.567722435,1.5677224351601167,1.6011636461144008e-10,-0.083475663,-0.08347566337686442,-3.7686441467510434e-10,-0.003569029,-0.0035690286135519112,3.864480888071675e-10
14.62,1.797746938,1.7977469382072175,28.895170413,28.895170413713746,7.432188834275667e-10,1.566933286,1.5669332861291645,1.291642348633104e-10,-0.091270767,-0.09127076701776048,-1.7760473647321362e-11,-0.004016557,-0.004016556927474742,7.252525750095495e-11
14.63,1.797921633,1.7979216333839068,28.915169647,28.91516964711083,3.995844493337879e-10,1.565948093,1.5659480931141196,1.1411938061200999e-10,-0.088408541,-0.08840854127358497,-2.735849741197782e-10,-0.004058161,-0.00405816121643119,-2.1643118981035103e-10
