interval_start_index,partition,time_s,speed_mps,steer_rad,input_steer_vel_radps,input_accel_x_mps2,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_residual_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_residual_rad
132,train,1.33,1.997617122,0.0,3.2,0.011330584,0.158170112,0.1581701113308241,-6.691759091292937e-10,0.008882843,0.008882842597300496,-4.0269950395133147e-10
133,train,1.34,1.997730428,0.032,-3.2,0.010791815,0.127824792,0.12782479241878703,4.18787032829826e-10,0.007427121,0.007427120587564772,-4.124352283307875e-10
134,train,1.35,1.997838346,0.0,3.2,0.010278664,0.117598436,0.1175984354875553,-5.124446977866626e-10,0.006736177,0.006736177334123715,3.3412371480689984e-10
135,train,1.36,1.997941133,0.032,-3.2,0.009789914,0.10415869,0.10415868981656667,-1.8343332408576885e-10,0.0060031,0.006003100429583042,4.295830418818425e-10
136,train,1.37,1.998039032,0.0,3.2,0.009324403,0.103737991,0.10373799096166517,-3.83348353061308e-11,0.005773414,0.005773413855652177,-1.4434782275724034e-10
137,train,1.38,1.998132276,0.032,-3.2,0.008881028,0.096000309,0.09600030869077358,-3.092264222459562e-10,0.005340233,0.005340232971589206,-2.8410793682931423e-11
138,train,1.39,1.998221086,0.0,3.2,0.008458735,0.098905393,0.09890539292537537,-7.462462592311425e-11,0.005309286,0.00530928550493407,-4.950659300909099e-10
139,train,1.4,1.998305674,0.032,-3.2,0.008056522,0.09311583,0.0931158303003413,3.0034130737988107e-10,0.005010327,0.0050103268155147224,-1.8448527774883594e-10
140,train,1.41,1.998386239,0.0,3.2,0.007673434,0.097167439,0.09716743954292138,5.429213884022843e-10,0.005071695,0.005071695001731222,1.731221936640548e-12
141,train,1.42,1.998462973,0.032,-3.2,0.007308563,0.09205742,0.0920574203312988,3.3129879395410455e-10,0.004837303,0.0048373030254781815,2.5478181196747496e-11
142,train,1.43,1.998536059,0.0,3.2,0.006961041,0.09651458,0.0965145800755182,7.551820280227162e-11,0.004944518,0.004944517929436438,-7.05635619380196e-11
143,train,1.44,1.998605669,0.032,-3.2,0.006630043,0.091649345,0.09164934467241874,-3.2758125378951064e-10,0.004743106,0.00474310617024927,1.7024926954323227e-10
144,train,1.45,1.99867197,0.0,3.2,0.006314784,0.096255573,0.09625557274198328,-2.580167191013061e-10,0.004874312,0.004874312114175486,1.1417548677339351e-10
145,train,1.46,1.998735117,0.032,-3.2,0.006014516,0.091482713,0.0914827128680878,-1.3191218950492356e-10,0.004690511,0.004690511165821504,1.6582150409727436e-10
146,train,1.47,1.998795263,0.0,3.2,0.005728526,0.096146696,0.09614669566125435,-3.387456565251412e-10,0.004834744,0.004834744241855692,2.418556917238579e-10
147,train,1.48,1.998852548,0.032,-3.2,0.005456135,0.091410893,0.09141089331556375,3.155637556817581e-10,0.004660636,0.004660635815879027,-1.8412097280845474e-10
148,train,1.49,1.998907109,0.0,3.2,0.005196696,0.096098734,0.09609873343530169,-5.646983158857921e-10,0.004812118,0.0048121179038976905,-9.610230927020735e-11
149,train,1.5,1.998959076,0.032,-3.2,0.004949593,0.091378885,0.09137888546827289,4.682728788063528e-10,0.00464345,0.004643449693702037,-3.062979635551355e-10
150,train,1.51,1.999008572,0.0,3.2,0.00471424,0.096077262,0.09607726159199825,-4.080017435015293e-10,0.004799029,0.004799028958727544,-4.127245593898987e-11
151,train,1.52,1.999055715,0.032,-3.2,0.004490077,0.09136478,0.09136478018724938,1.8724936878822263e-10,0.004633452,0.004633452359097821,3.5909782092335973e-10
152,train,1.53,1.999100615,0.0,3.2,0.004276574,0.096068082,0.09606808243313673,4.331367348120452e-10,0.004791371,0.004791370692384516,-3.076154843004164e-10
153,train,1.54,1.999143381,0.032,-3.2,0.004073223,0.091359206,0.09135920629112616,2.911261648419483e-10,0.004627566,0.00462756635537571,3.5537571062976836e-10
