time_s,dt_to_next_s,input_steering_velocity_radps,input_accel_x_mps2,gym_x_m,gym_y_m,gym_steer_rad,gym_speed_mps,gym_theta_rad,gym_yaw_rate_radps,dynamic_x_m,dynamic_y_m,dynamic_steer_rad,dynamic_speed_mps,dynamic_theta_rad,dynamic_yaw_rate_radps,dynamic_slip_angle_rad,kinematic_yaw_rate_radps,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_yaw_rate_radps,error_speed_mps
0.63,0.010000000000000009,3.2,9.51,1.080181337,1.832350586,0.288,5.980294388,1.6236342,1.830536178,1.0773345569794743,1.8260297523229794,0.28799999999999965,5.9692887756200035,1.624241419750935,1.8315005252499148,-0.05569153845926973,5.302804889931048,-0.00284678002052563,-0.006320833677020632,0.0069323224721461185,0.0006072197509352506,0.0009643472499147876,-0.011005612379996421
0.64,0.010000000000000009,-3.2,9.51,1.079928606,1.892627953,0.32,6.075394388,1.641868847,1.825349386,1.0770284580028067,1.8861968147802115,0.3199999999999997,6.064388775620004,1.6424862718330022,1.826425035065559,-0.059170727013610605,6.0089726898445885,-0.002900147997193292,-0.006431138219788579,0.00705481376137242,0.0006174248330022003,0.0010756490655590145,-0.011005612379996421
0.65,0.010000000000000009,3.2,9.51,1.07875929,1.953845672,0.288,6.170494388,1.660117874,1.81391041,1.0758061245394823,1.9473034203207353,0.28799999999999965,6.159488775620004,1.660746569592007,1.8150877709989799,-0.06263061559016256,5.471457706101556,-0.002953165460517715,-0.006542251679264588,0.007177899642098316,0.0006286955920069559,0.001177360998979804,-0.011005612379995533
0.66,0.010000000000000009,-3.2,9.51,1.076659688,2.015990089,0.32,6.265594388,1.678142207,1.800261059,1.0736538405449492,2.009335913765492,0.3199999999999997,6.254588775620005,1.6787831681853067,1.8015354495911837,-0.06585236821935943,6.197093251674431,-0.0030058474550507253,-0.006654175234508397,0.007301586606661583,0.0006409611853066544,0.0012743905911836162,-0.011005612379995533
0.67,0.010000000000000009,3.2,9.51,1.073585935,2.079046083,0.288,6.360694388,1.696106529,1.782360329,1.0705277268142481,2.072279142335951,0.28799999999999965,6.349688775620005,1.6967606738941,1.783721291243741,-0.06901174668966836,5.640110522272064,-0.003058208185751976,-0.006766940664049148,0.007425908917981846,0.0006541448941002059,0.0013609622437409374,-0.011005612379994645
0.68,0.009999999999999898,3.20000000000003,9.51,1.069526642,2.142999245,0.32,6.455794388,1.713789958,1.763889102,1.0664163726767757,2.1361186946947344,0.3199999999999997,6.4447887756200055,1.7144581228973905,1.7653307330344925,-0.07190708887001719,6.385213813504275,-0.003110269323224335,-0.006880550305265576,0.007550877284546517,0.0006681648973905219,0.0014416310344924632,-0.011005612379994645
0.69,0.010000000000000009,-3.1999999999999944,9.51,1.064424704,2.207831601,0.352,6.550894388,1.731562714,1.798902883,1.0612626555874085,2.2008365519324316,0.35199999999999937,6.539888775620004,1.7322456377353124,1.8004096330694987,-0.07419371451664358,7.1578546162468975,-0.0031620484125916004,-0.006995049067568537,0.007676539690593967,0.000682923735312535,0.0015067500694987412,-0.011005612379995533
0.7,0.010000000000000009,3.1999999999999944,9.51,1.058222517,2.27352325,0.32,6.645994388,1.749729798,1.823174414,1.0550089501293942,2.2664127620199195,0.3199999999999994,6.6349887756200046,1.7504280269898569,1.8247261638441097,-0.07688908397134182,6.573334375334119,-0.0032135668706056997,-0.0071104879800807375,0.007802951451004111,0.0006982289898571636,0.0015517498441097732,-0.011005612379995533
0.71,0.010000000000000009,-3.1999999999999944,9.51,1.050908452,2.340057216,0.352,6.741094388,1.768004354,1.84021784,1.0476436063569854,2.3328303421245074,0.35199999999999937,6.730088775620005,1.768718280920261,1.8418038734028137,-0.07969770472983122,7.365677222959048,-0.0032648456430146577,-0.00722687387549259,0.007930127557926738,0.0007139269202611764,0.0015860334028137135,-0.011005612379994645
0.72,0.010000000000000009,3.1999999999999944,9.51,1.042439476,2.407412644,0.32,6.836194388,1.786501479,1.848148421,1.0391235731756696,2.400068396235735,0.3199999999999994,6.825188775620005,1.7872313867876537,1.8497573585031453,-0.08272520976530082,6.761454937163962,-0.0033159028243303634,-0.0073442477642648996,0.008058113101918592,0.0007299077876536941,0.0016089375031451691,-0.011005612379994645
0.73,0.010000000000000009,-3.1999999999999944,9.51,1.032803792,2.47557167,0.352,6.931294388,1.80495123,1.850585819,1.0294370367613765,2.4681090490703816,0.35199999999999937,6.920288775620006,1.805697325868243,1.8522136541226237,-0.08570518282801197,7.573499829671199,-0.003366755238623398,-0.007462620929618247,0.008186925673045676,0.0007460958682430352,0.0016278351226237664,-0.011005612379994645
