time_s,dt_to_next_s,input_accel_x_mps2,input_steer_rad,command_steer_rad,gym_x_m,gym_y_m,gym_theta_rad,gym_speed_mps,model_x_m,model_y_m,model_theta_rad,model_speed_mps,accel_y_mps2,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_speed_mps
0.62,0.010000000000000009,9.51,0.32,0.327837696,1.079563551,1.773026894,1.605270205,5.885194388,0.6348208468773124,1.7124279450614703,2.1531283988955305,5.874188775620003,10.777679435,-0.44474270412268746,-0.060598948938529684,0.4488522089539216,0.5478581938955305,-0.01100561237999731
0.63,0.010000000000000009,9.51,0.288,0.319560891,1.080181337,1.832350586,1.6236342,5.980294388,0.5930956552022528,1.7544363372057958,2.2116983686893903,5.9692887756200035,10.947145232,-0.48708568179774714,-0.07791424879420417,0.49327790501657515,0.5880641686893906,-0.011005612379996421
0.64,0.010000000000000009,9.51,0.32,0.312230944,1.079928606,1.892627953,1.641868847,6.075394388,0.5491009298478642,1.795470960889401,2.2650504614313576,6.064388775620004,11.089717415,-0.5308276761521358,-0.09715699211059903,0.5396457197875804,0.6231816144313576,-0.011005612379996421
0.65,0.010000000000000009,9.51,0.288,0.306043581,1.07875929,1.953845672,1.660117874,6.170494388,0.5014269271111025,1.833702250899695,2.3255016368435157,6.159488775620004,11.192724007,-0.5773323628888976,-0.12014342110030496,0.5897008554110829,0.6653837628435157,-0.011005612379995533
0.66,0.010000000000000009,9.51,0.32,0.329261425,1.076659688,2.015990089,1.678142207,6.265594388,0.45149722778329293,1.870563960744596,2.380540257747189,6.254588775620005,11.279705586,-0.625162460216707,-0.14542612825540413,0.6418542361343134,0.7023980507471888,-0.011005612379995533
0.67,0.010000000000000009,9.51,0.288,0.322341825,1.073585935,2.079046083,1.696106529,6.360694388,0.39809352365275896,1.9040072544020112,2.4428726387776454,6.349688775620005,11.33704934,-0.6754924113472411,-0.17503882859798892,0.697802686512933,0.7467661097776457,-0.011005612379994645
0.68,0.009999999999999898,9.51,0.32,0.316535793,1.069526642,2.142999245,1.713789958,6.455794388,0.3425127747474953,1.9356639986690647,2.4995977878430233,6.4447887756200055,11.387305366,-0.7270138672525047,-0.20733524633093525,0.7560007060503,0.7858078298430233,-0.011005612379994645
0.69,0.010000000000000009,9.51,0.352,0.333723198,1.064424704,2.207831601,1.731562714,6.550894388,0.2837692056820733,1.9632826732851871,2.5638113744917774,6.539888775620004,11.7844228,-0.7806554983179268,-0.24454892771481296,0.8180630691459403,0.8322486604917776,-0.011005612379995533
0.7,0.010000000000000009,9.51,0.32,0.327219352,1.058222517,2.27352325,1.749729798,6.645994388,0.2219778156963197,1.986072712996102,2.635789224013651,6.6349887756200046,12.116806921,-0.8362447013036802,-0.2874505370038982,0.8842697618274136,0.8860594260136514,-0.011005612379995533
0.71,0.010000000000000009,9.51,0.352,0.321584151,1.050908452,2.340057216,1.768004354,6.741094388,0.15819542127724703,2.005967766155472,2.7018840162807045,6.730088775620005,12.405082152,-0.892713030722753,-0.33408944984452793,0.9531801066533137,0.9338796622807042,-0.011005612379994645
0.72,0.010000000000000009,9.51,0.32,0.332234136,1.042439476,2.407412644,1.786501479,6.836194388,0.09198353509566047,2.020373523104852,2.7759400918697006,6.825188775620005,12.634301863,-0.9504559409043395,-0.3870391208951478,1.0262386548477125,0.9894386128697006,-0.011005612379994645
0.73,0.010000000000000009,9.51,0.352,0.325633025,1.032803792,2.47557167,1.80495123,6.931294388,0.02416095474363046,2.031406784895161,2.8439160897550524,6.920288775620006,12.826955103,-1.0086428372563694,-0.444164885104839,1.1021083514377221,1.038964859755053,-0.011005612379994645
0.74,0.010000000000000009,9.51,0.32,0.320282718,1.021959045,2.544511651,1.823486928,7.026394388,-0.04532430263413975,2.036359764534127,2.92005039141117,7.015388775620006,12.969357286,-1.0672833476341397,-0.508151886465873,1.1820795590212874,1.0965634634111705,-0.011005612379993757
0.75,0.010000000000000009,9.51,0.352,0.316132861,1.009894572,2.614214002,1.841857305,7.121494388,-0.11593004707326732,2.037504716333844,2.98990759491482,7.110488775620007,13.084753038,-1.1258246190732675,-0.5767092856661562,1.2649405808515417,1.1480502899148206,-0.011005612379993757
0.76,0.010000000000000009,9.067184562,0.32,0.318581867,0.996567853,2.684631611,1.860379433,7.212166233,-0.1872863256464618,2.03208050651121,3.068120122638059,7.205588775620007,13.38170327,-1.1838541786464618,-0.65255110448879,1.3517890590873372,1.207740689638059,-0.006577457379992602
0.77,0.010000000000000009,8.636039936,0.288,0.31378616,0.981982817,2.755703277,1.878901644,7.298526633,-0.25914187703789593,2.0224827151803764,3.139836633051022,7.296260621240007,13.413139838,-1.241124694037896,-0.7332205618196235,1.4415279735148205,1.2609349890510222,-0.0022660117599926366
0.78,0.010000000000000009,8.255573607,0.32,0.310319344,0.966145969,2.827371698,1.897264556,7.381082369,-0.3312926411422163,2.0090996876535208,-3.0782688968643708,7.382621020600007,13.613351898,-1.2974386101422164,-0.8182720103464791,1.533921780927644,1.3076518543152158,0.0015386516000077677
0.79,0.010000000000000009,7.863021082,0.288,0.306720467,0.949016217,2.899570673,1.915903171,7.459712579,-0.40281729978425596,1.9892710496754584,-3.0048415556499664,7.465176756670007,13.953765131,-1.351833516784256,-0.9102996233245415,1.6297543561304235,1.3624405805296202,0.005464177670007508
0.8,0.010000000000000009,7.489134429,0.32,0.302647109,0.930586814,2.97224103,1.93478595,7.534603924,-0.4739768591721758,1.965480733842684,-2.9382982493161887,7.543806967490007,14.429749082,-1.4045636731721758,-1.006760296157316,1.7281103569835121,1.4101011078633974,0.009203043490007445
0.81,0.009999999999999898,7.158273057,0.288,0.294583834,0.910816303,3.045316986,1.954280653,7.606186654,-0.5434539618702026,1.935185867311733,-2.8633145739249097,7.618698311780007,14.981197745,-1.4542702648702026,-1.110131118688267,1.8295609046888033,1.4655900802546764,0.01251165778000729
0.82,0.010000000000000009,6.817897173,0.32,0.289471983,0.889698053,3.118742293,1.974263595,7.674365626,-0.6118640231538269,1.9008793692923898,-2.7954412174377863,7.690281042350007,15.623960401,-1.501562076153827,-1.2178629237076102,1.933359451701892,1.5134804947418,0.015915416350006595
0.83,0.010000000000000009,6.514118189,0.288,0.28560674,0.86718886,3.192450437,1.995051807,7.739506808,-0.6775076892749868,1.860202624285245,-2.7190420101007886,7.758460014080007,16.303016211,-1.544696549274987,-1.3322478127147552,2.0398459902221298,1.5690914900787973,0.018953206080007057
0.84,0.010000000000000009,6.204371869,0.32,0.269789126,0.843281188,3.266385513,2.016459529,7.801550527,-0.7413668944858983,1.8155976471553044,-2.6499579274294907,7.8236011959700065,17.037905963,-1.5846480824858982,-1.4507878658446955,2.148463399038587,1.6167678507500955,0.022050668970006626
0.85,0.010000000000000009,5.909353986,0.288,0.264654832,0.817929855,3.340478503,2.038775314,7.860644067,-0.801382848971293,1.7649568202917898,-2.5722704352040697,7.8856449146600065,17.789091049,-1.6193127039712931,-1.5755216827082101,2.259301264976969,1.672139557975516,0.025000847660006542
